id_artist,nome,edizione,periodo_attivita
3AVx3OBPIk4pJQllAXoVs1,Gaia,2021,2016
4xgOj3GP5I1do9ip0MQkLa,Ghemon,2021,1996
3TAYxk5QBcHunmb0qkeTn2,Francesco Renga,2021,1984
1UjLyuJUXKzlECQRLIsF3n,Gio Evan,2021,2013
01U4yWwtUKMckbI55OiT7g,Bugo,2021,2000
5bxbPQo0VkFgZKemF0YKb4,AIELLO,2021,2011
05kigUQCchmbJDmhDiYiS0,Random,2021,2015
06nvjg4wBANK6DCHjqtPNd,Mahmood,2022,2012
1MRiIeZbc0cRuxOafDUCtH,BLANCO,2022,2020
2ARH58Hit3yC6ziGdhma23,Elisa,2022,1997
15FrhfFYJIx7Ijltkpjbsr,Gianni Morandi,2022,1962
5iot8OPcosJN9nCl7I5SdK,Irama,2022,2015
7dL0nOHwnSAsNAwpkPSGWP,sangiovanni,2022,2020
0gzwXezN4IUHAwLufA6YcX,Emma,2022,1997
1VZvpyWFZWk1GitulKUo3d,Massimo Ranieri,2022,1964
7muPB2GhV0sEg2K1Fgj0Xm,Dargen D'Amico,2022,1997
1CF7hrTuWgErEa6HBFJ8d3,Michele Bravi,2022,2013
5Imsy0ZXNi7uWLJpP5dZ8b,Matteo Romano,2022,2020
3ebOqZZsLCDAkLS6QdI8cc,Fabrizio Moro,2022,1996
0lQtBhjEJpoOroQS6fbWMc,Aka 7even,2022,2017
0lI3rF4hi4op6UxqlLHPzv,Achille Lauro,2022,2011
62C5P1caRIK12ndTkzNJjA,Noemi,2022,
7HtzacrJpksCiS6qHypb8l,Ditonellapiaga,2022,2019
7eIqewR3PiwQDItf5G2SyV,Donatella Rettore,2022,1973
056KMTw6IztdQjBmFfVyO3,Rkomi,2022,2012
06WyIm2la1sB8sKdfWAvU9,Iva Zanicchi,2022,1960
6qSYb2AiQlXlAoa50vLx5m,Giovanni Truppi,2022,2010
47RMRcPX8zWGaiMSZRuOd4,Highsnob,2022,2009
1XZA7vX3UDejpAFJtywlL6,Hu,2022,2020
6GSNzwDDZ7M6bquJtrsH3g,Yuman,2022,2018
0dwEXtB6gceh7EO7tCsxhD,Giusy Ferreri,2022,1998
6k8mwkKJKKjBILo7ypBspl,Ana Mena,2022,2006
35V1WomiedCJeGfupcPm7s,Tananai,2022,2015
