"id_artist","nome","edizione"
"0Tuudqq2NACRXkvTQGazY2","Negrita",2019
"2Yi5fknmHBqqKjHF6cXQyh","Patty Pravo",2019
"4FTMyLkoEE9oEUpCv3Dr4p","Briga",2019
"2TtebnfWKMq7LCi2A9BlU4","Anna Tatangelo",2019
"2A0z6Qg6u9zBYIJW3Cr64J","Einar",2019
"4xhEhRE75hHgXMeNeeTTsx","Nino D'Angelo",2019
"67ZKaYOA7fXtnWve33FcSX","Livio Cori",2019
"2QWrpLRDeBD1NwWAsytBRi","Diodato",2020
"5lzqFxifzjxYHGJxuwQqtR","Francesco Gabbani",2020
"6RdcIWVKYYzNzjQRd3oyHS","Pinguini Tattici Nucleari",2020
"3J3PdLj6v1uAs1mWKpzZbX","Le Vibrazioni",2020
"6gTrPTTb3XgiLt7GGcmf8j","Piero Pelù",2020
"2QezBWDHOoFeVCM3wlzTDu","Tosca",2020
"7GgpsUpkj3olseoaTY7TEY","Elodie",2020
"0lI3rF4hi4op6UxqlLHPzv","Achille Lauro",2020
"0Ob8qRZ9R1jhibRue9ap1H","Irene Grandi",2020
"5DkmrXKeWgDS86KKEw45o6","Rancore",2020
"6JhUHne9H09NdkTI5E9GSt","Dardust",2020
"6hu9cUsJDFg2kUkAAjOepA","Raphael Gualazzi",2020
"5mTg1ztZByLRHsOEtwmT4G","Levante",2020
"0QJ3p787u7KD0ZhD5vzrCA","Anastasio",2020
"7n97gdKHt1WpbhwCSaZGN8","Alberto Urso",2020
"0kcOfjhVfDMTS09s9aLmuD","Marco Masini",2020
"1x0zlfJWTnI08gqAwMrGpX","Paolo Jannacci",2020
"3xc8CD41vwsoBNkGXL3pS7","Rita Pavone",2020
"7GQA0yMdSaivapYpUqgfKJ","Michele Zarrillo",2020
"4Umo1uO9VemTgnkjeUhx8c","Enrico Nigiotti",2020
"0ZhqSTaEEWN6USw0E30pws","Giordana Angi",2020
"3o7fC2O4nraaicpID6bBZW","Elettra Lamborghini",2020
"215ciYy7TIYnGRim0I1nJ3","JUNIOR CALLY",2020
"1DyU8JVejfDzqXo9x2mFfQ","RIKI",2020
"01U4yWwtUKMckbI55OiT7g","Bugo",2020
"6RUY9TXdPIoeOExtd9twr0","Morgan",2020
"0lAWpj5szCSwM4rUMHYmrr","Måneskin",2021
"4jFlmD92WULLlaRS8Cj6QS","Francesca Michielin",2021
"3pgCLfNbw5ozIfoNsvDU7i","Fedez",2021
"4XWTdNlsP8jqo5BDn5hgmd","Ermal Meta",2021
"2KX2VLr3Eu6sn6EtxzCtvf","Colapesce",2021
"1k3zqz5SgrYCE0wpcfJX3g","Dimartino",2021
"5iot8OPcosJN9nCl7I5SdK","Irama",2021
"00CsjN69YCczmdW0bDKaCC","Willie Peyote",2021
"0EqkKYDK9EkKY5N7zU3FPv","Annalisa",2021
"1vgQksyJ0IVz8y9XerEOy3","Madame",2021
"6W7O7oseXcbYLoiarQrpOw","Orietta Berti",2021
"25x6MD0spNNS7z93Sat30K","Arisa",2021
"0YmQyGKpZgGSDxsC8iEGQU","La rappresentante di lista",2021
"3ZoQo4lRRScMfUt80dixVp","EXTRALISCIO",2021
"5Or6NSwkamM2NsaHp9VMc2","Davide Toffolo",2021
"1MBjY2JFotAGoTYDfO80cM","Lo Stato Sociale",2021
"62C5P1caRIK12ndTkzNJjA","Noemi",2021
"5jcswtptZttxBwWKXbR5k5","Malika Ayane",2021
"1QeqGmpgU5Yg74GNcjIIq3","Fulminacci",2021
"1h5O32I1o0VOnpLmKXLfRa","Max Gazzè",2021
"1hM06YHQ635cZwwUbn7dpk","Fasma",2021
"0kbBijEWCi7FWrBpnpOcHd","GG",2021
"3AVx3OBPIk4pJQllAXoVs1","Gaia",2021
"0Sv8sjzMHBbAWXt4CGB9Us","Coma_Cose",2021
"4xgOj3GP5I1do9ip0MQkLa","Ghemon",2021
"3TAYxk5QBcHunmb0qkeTn2","Francesco Renga",2021
"1UjLyuJUXKzlECQRLIsF3n","Gio Evan",2021
"01U4yWwtUKMckbI55OiT7g","Bugo",2021
"5bxbPQo0VkFgZKemF0YKb4","AIELLO",2021
"05kigUQCchmbJDmhDiYiS0","Random",2021
"06nvjg4wBANK6DCHjqtPNd","Mahmood",2022
"1MRiIeZbc0cRuxOafDUCtH","BLANCO",2022
"2ARH58Hit3yC6ziGdhma23","Elisa",2022
"15FrhfFYJIx7Ijltkpjbsr","Gianni Morandi",2022
"5iot8OPcosJN9nCl7I5SdK","Irama",2022
"7dL0nOHwnSAsNAwpkPSGWP","sangiovanni",2022
"0gzwXezN4IUHAwLufA6YcX","Emma",2022
"0YmQyGKpZgGSDxsC8iEGQU","La rappresentante di lista",2022
"1VZvpyWFZWk1GitulKUo3d","Massimo Ranieri",2022
"7muPB2GhV0sEg2K1Fgj0Xm","Dargen D'Amico",2022
"1CF7hrTuWgErEa6HBFJ8d3","Michele Bravi",2022
"5Imsy0ZXNi7uWLJpP5dZ8b","Matteo Romano",2022
"3ebOqZZsLCDAkLS6QdI8cc","Fabrizio Moro",2022
"0lQtBhjEJpoOroQS6fbWMc","Aka 7even",2022
"0lI3rF4hi4op6UxqlLHPzv","Achille Lauro",2022
"62C5P1caRIK12ndTkzNJjA","Noemi",2022
"7HtzacrJpksCiS6qHypb8l","Ditonellapiaga",2022
"7eIqewR3PiwQDItf5G2SyV","Donatella Rettore",2022
"056KMTw6IztdQjBmFfVyO3","Rkomi",2022
"06WyIm2la1sB8sKdfWAvU9","Iva Zanicchi",2022
"6qSYb2AiQlXlAoa50vLx5m","Giovanni Truppi",2022
"47RMRcPX8zWGaiMSZRuOd4","Highsnob",2022
"1XZA7vX3UDejpAFJtywlL6","Hu",2022
"6GSNzwDDZ7M6bquJtrsH3g","Yuman",2022
"3J3PdLj6v1uAs1mWKpzZbX","Le Vibrazioni",2022
"0dwEXtB6gceh7EO7tCsxhD","Giusy Ferreri",2022
"6k8mwkKJKKjBILo7ypBspl","Ana Mena",2022
"35V1WomiedCJeGfupcPm7s","Tananai",2022
