"genres","id_artist"
"italian adult pop, italian pop","5iot8OPcosJN9nCl7I5SdK"
"","7dL0nOHwnSAsNAwpkPSGWP"
"italian adult pop, italian pop","0gzwXezN4IUHAwLufA6YcX"
"indie siciliano, italian indie pop","0YmQyGKpZgGSDxsC8iEGQU"
"canzone napoletana, classic italian pop, italian adult pop","1VZvpyWFZWk1GitulKUo3d"
"italian hip hop, italian indie pop, italian pop, milan indie, r&b italiano","7muPB2GhV0sEg2K1Fgj0Xm"
"italian adult pop, italian pop","1CF7hrTuWgErEa6HBFJ8d3"
"","5Imsy0ZXNi7uWLJpP5dZ8b"
"classic italian pop, italian adult pop","3ebOqZZsLCDAkLS6QdI8cc"
"italian pop","0lQtBhjEJpoOroQS6fbWMc"
"italian hip hop, italian indie pop, italian pop","0lI3rF4hi4op6UxqlLHPzv"
"italian adult pop, italian pop","62C5P1caRIK12ndTkzNJjA"
"italian indie pop","7HtzacrJpksCiS6qHypb8l"
"classic italian pop, italian adult pop","7eIqewR3PiwQDItf5G2SyV"
"italian hip hop","056KMTw6IztdQjBmFfVyO3"
"classic italian pop","06WyIm2la1sB8sKdfWAvU9"
"italian indie pop","6qSYb2AiQlXlAoa50vLx5m"
"italian hip hop","47RMRcPX8zWGaiMSZRuOd4"
"","1XZA7vX3UDejpAFJtywlL6"
"","6GSNzwDDZ7M6bquJtrsH3g"
"classic italian pop, italian adult pop","3J3PdLj6v1uAs1mWKpzZbX"
"classic italian pop, italian adult pop, italian pop","0dwEXtB6gceh7EO7tCsxhD"
"latin pop, spanish pop","6k8mwkKJKKjBILo7ypBspl"
"","35V1WomiedCJeGfupcPm7s"
